STT,Trường,Mã ngành,Tên ngành,Tổ hợp,Điểm chuẩn ĐGNL HCM 2025,Phương thức,Ghi chú
537,Trường Đại Học Giao Thông Vận Tải TPHCM,784010104A,Khai thác vận tải (chuyên ngành Khai thác đường sắt tốc độ cao) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
538,Trường Đại Học Giao Thông Vận Tải TPHCM,784010102A,Khai thác vận tải (chuyên ngành Quản lý và kinh doanh vận tải) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
539,Trường Đại Học Giao Thông Vận Tải TPHCM,784010101A,Khai thác vận tải (chuyên ngành Quản trị logistics và vận tải đa phương thức) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
540,Trường Đại Học Giao Thông Vận Tải TPHCM,7460108A,Khoa học dữ liệu - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,999,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
541,Trường Đại Học Giao Thông Vận Tải TPHCM,784010607,Khoa học hàng hải (chuyên ngành Khai thác máy tàu thủy và quản lý kỹ thuật),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
542,Trường Đại Học Giao Thông Vận Tải TPHCM,7840106,"Khoa học hàng hải (chuyên ngành Kỹ thuật điện, điện tử và điều khiển; Cơ điện tử)",C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
543,Trường Đại Học Giao Thông Vận Tải TPHCM,784010609A,Khoa học hàng hải (chuyên ngành Quản lý cảng và logistics) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
544,Trường Đại Học Giao Thông Vận Tải TPHCM,784010613A,Khoa học hàng hải (chuyên ngành Quản lý hàng hải và đường thủy) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
545,Trường Đại Học Giao Thông Vận Tải TPHCM,784010606,Khoa học hàng hải (chuyên ngành Điều khiển và quản lý tàu biển),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
546,Trường Đại Học Giao Thông Vận Tải TPHCM,784010403A,Kinh tế vận tải (chuyên ngành Kinh tế hàng hải và đường thủy) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
547,Trường Đại Học Giao Thông Vận Tải TPHCM,784010404A,Kinh tế vận tải (chuyên ngành Kinh tế hàng không) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
548,Trường Đại Học Giao Thông Vận Tải TPHCM,758030103A,Kinh tế xây dựng (chuyên ngành Kinh tế và quản lý bất động sản) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
549,Trường Đại Học Giao Thông Vận Tải TPHCM,758030101A,Kinh tế xây dựng (chuyên ngành Kinh tế xây dựng) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
550,Trường Đại Học Giao Thông Vận Tải TPHCM,752010304A,Kỹ thuật cơ khí (chuyên ngành Cơ khí tự động)- chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
551,Trường Đại Học Giao Thông Vận Tải TPHCM,752010308A,Kỹ thuật cơ khí (chuyên ngành Cơ khí đường sắt tốc độ cao và đường sắt đô thị) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
552,Trường Đại Học Giao Thông Vận Tải TPHCM,752010309A,Kỹ thuật cơ khí (chuyên ngành kỹ thuật cơ khí hàng không) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
553,Trường Đại Học Giao Thông Vận Tải TPHCM,7520320,Kỹ thuật môi trường (chuyên ngành Kỹ thuật môi trường; Quản lý an toàn và môi trường),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
554,Trường Đại Học Giao Thông Vận Tải TPHCM,7520122,"Kỹ thuật tàu thủy (chuyên ngành Kỹ thuật tàu thủy, công trình nổi và quản lý hệ thống công nghiệp)",C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
555,Trường Đại Học Giao Thông Vận Tải TPHCM,7580205,Kỹ thuật xây dựng công trình giao thông (chuyên ngành Xây dựng cầu đường; Xây dựng đường bộ; Xây dựng công trình giao thông đô thị),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
556,Trường Đại Học Giao Thông Vận Tải TPHCM,758020512,Kỹ thuật xây dựng công trình giao thông (chuyên ngành Xây dựng đường sắt tốc độ cao và đường sắt đô thị),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
557,Trường Đại Học Giao Thông Vận Tải TPHCM,7580202,Kỹ thuật xây dựng công trình thủy (chuyên ngành Xây dựng và quản lý cảng - công trình giao thông thủy),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
558,Trường Đại Học Giao Thông Vận Tải TPHCM,758020106,Kỹ thuật xây dựng (chuyên ngành Kỹ thuật xây dựng dân dụng Ứng dụng công nghệ số),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
559,Trường Đại Học Giao Thông Vận Tải TPHCM,758020105A,Kỹ thuật xây dựng (chuyên ngành Thiết kế nội thất) – chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
560,Trường Đại Học Giao Thông Vận Tải TPHCM,758020101,Kỹ thuật xây dựng (chuyên ngành Xây dựng dân dụng và công nghiệp),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
561,Trường Đại Học Giao Thông Vận Tải TPHCM,7520130A,Kỹ thuật ô tô (chuyên ngành Cơ khí ô tô; Cơ điện tử ô tô) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
562,Trường Đại Học Giao Thông Vận Tải TPHCM,7520216A,Kỹ thuật điều khiển và tự động hóa - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
563,Trường Đại Học Giao Thông Vận Tải TPHCM,752021603A,Kỹ thuật điều khiển và tự động hóa (chuyên ngành Kỹ thuật điều khiển tự động và thông tin tín hiệu đường sắt tốc độ cao) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
564,Trường Đại Học Giao Thông Vận Tải TPHCM,7520207A,Kỹ thuật điện tử - viễn thông - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
565,Trường Đại Học Giao Thông Vận Tải TPHCM,7520201,Kỹ thuật điện (chuyên ngành Điện công nghiệp; Hệ thống điện giao thông; Năng lượng tái tạo),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,936,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
566,Trường Đại Học Giao Thông Vận Tải TPHCM,7510605E,Logistics và quản lý chuỗi cung ứng - chương trình hoàn toàn bằng Tiếng Anh,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
567,Trường Đại Học Giao Thông Vận Tải TPHCM,7510605A,Logistics và quản lý chuỗi cung ứng - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,963,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
568,Trường Đại Học Giao Thông Vận Tải TPHCM,7520320A,Logistics xanh và phát triển bền vững – chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,720,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
569,Trường Đại Học Giao Thông Vận Tải TPHCM,7380101A,Luật – chương trình tiên tiến,C01;C02;B03;C03;C04;C14;X01;X02;X03;X04;D01,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
570,Trường Đại Học Giao Thông Vận Tải TPHCM,7480102A,Mạng máy tính và truyền thông dữ liệu (chuyên ngành Mạng máy tính và truyền thông dữ liệu; Kỹ thuật thiết kế vi mạch và AI) - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
571,Trường Đại Học Giao Thông Vận Tải TPHCM,7220201A,Ngôn ngữ Anh – chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; C05; C06; C07; C09; C16; X58; X59; X60; X61; D11; C08; C10; C11; C17; X62; X63; X64; X65; D12; C12; C13; C18; X66; X67; X68; X69; D13; C00; C19; X70; X71; X72; X73; D14; C20; X74; X75; X76; X77; D15; ,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
572,Trường Đại Học Giao Thông Vận Tải TPHCM,7220201E,"Ngôn ngữ Anh (chuyên ngành Tiếng Anh thương mại, logistics và vận tải quốc tế) - chương trình hoàn toàn bằng Tiếng Anh",C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; C05; C06; C07; C09; C16; X58; X59; X60; X61; D11; C08; C10; C11; C17; X62; X63; X64; X65; D12; C12; C13; C18; X66; X67; X68; X69; D13; C00; C19; X70; X71; X72; X73; D14; C20; X74; X75; X76; X77; D15; ,775,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
573,Trường Đại Học Giao Thông Vận Tải TPHCM,7840101I,Nhóm ngành liên quan đường sắt tốc độ cao và đường sắt đô thị (Kinh tế; Quản lý; vận hành và khai thác),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
574,Trường Đại Học Giao Thông Vận Tải TPHCM,7520103I,"Nhóm ngành liên quan đường sắt tốc độ cao và đường sắt đô thị (Công nghệ thông tin;Viễn thông, Điện; năng lượng, Cơ khí)",C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
575,Trường Đại Học Giao Thông Vận Tải TPHCM,7580201I,Nhóm ngành liên quan đường sắt tốc độ cao và đường sắt đô thị (Kỹ thuật; Công nghệ kỹ thuật; Kiến trúc và Xây dựng),C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
576,Trường Đại Học Giao Thông Vận Tải TPHCM,7840201L,Nhóm ngành tuyển chung (dành cho đối tượng chưa xác định được ngành học) – Chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,668,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
577,Trường Đại Học Giao Thông Vận Tải TPHCM,7580302A,Quản lý xây dựng - chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
578,Trường Đại Học Giao Thông Vận Tải TPHCM,7340101A,Quản trị kinh doanh – chương trình tiên tiến,C01; C02; B03; C03; C04; C14; X01; X02; X03; X04; D01; A00; A02; A03; A04; A10; X05; X06; X07; X08; A01; B00; A05; A06; A11; X09; X10; X11; X12; D07; B01; B02; B04; X13; X14; X15 ; X16 ; B08; A07; A08; X17 ; X18 ; X19 ; X20 ; D09; A09; X21 ; X22 ; X23 ; X,800,Điểm xét tuyển kết hợp,Combined (Tích hợp ĐGNL)
579,Trường Đại Học Hoa Sen,7480201,Công nghệ thông tin,A00; A01; D01; D03; D07,600,Điểm ĐGNL HCM,ĐGNL HCM
580,Trường Đại Học Hoa Sen,7340205,Công nghệ tài chính,A00; A01; D01; D03; D09,652,Điểm ĐGNL HCM,ĐGNL HCM
581,Trường Đại Học Hoa Sen,7340114,Digital Marketing,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
582,Trường Đại Học Hoa Sen,7340120,Kinh doanh Quốc tế,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
583,Trường Đại Học Hoa Sen,7310113,Kinh tế thể thao,A00; A01; D01; D03; D09,652,Điểm ĐGNL HCM,ĐGNL HCM
584,Trường Đại Học Hoa Sen,7340301,Kế toán,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
585,Trường Đại Học Hoa Sen,7480103,Kỹ thuật phần mềm,A00; A01; D01; D03; D07,600,Điểm ĐGNL HCM,ĐGNL HCM
586,Trường Đại Học Hoa Sen,7510605,Logistics & Quản lý chuỗi cung ứng,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
587,Trường Đại Học Hoa Sen,7380101,Luật,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
588,Trường Đại Học Hoa Sen,7380107,Luật Kinh tế,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
589,Trường Đại Học Hoa Sen,7340115,Marketing,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
590,Trường Đại Học Hoa Sen,7210408,Nghệ thuật số,A01; A01; D01; C10,600,Điểm ĐGNL HCM,ĐGNL HCM
591,Trường Đại Học Hoa Sen,7220201,Ngôn ngữ Anh,D01; D09; D15; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
592,Trường Đại Học Hoa Sen,7220210,Ngôn ngữ Hàn Quốc,A01; D01; D09; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
593,Trường Đại Học Hoa Sen,7220204,Ngôn ngữ Trung Quốc,A01; D01; D04; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
594,Trường Đại Học Hoa Sen,7320108,Quan hệ công chúng,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
595,Trường Đại Học Hoa Sen,7340404,Quản trị Nhân lực,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
596,Trường Đại Học Hoa Sen,7340410,Quản trị công nghệ truyền thông,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
597,Trường Đại Học Hoa Sen,7810103,Quản trị dịch vụ Du lịch & Lữ hành,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
598,Trường Đại Học Hoa Sen,7810201,Quản trị khách sạn,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
599,Trường Đại Học Hoa Sen,7340101,Quản trị kinh doanh,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
600,Trường Đại Học Hoa Sen,7810202,Quản trị nhà hàng & Dịch vụ ăn uống,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
601,Trường Đại Học Hoa Sen,7340412,Quản trị sự kiện,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
602,Trường Đại Học Hoa Sen,7580108,Thiết kế Nội thất,A00; A01; D01; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
603,Trường Đại Học Hoa Sen,7210404,Thiết kế Thời trang,A01; A01; D01; C10,600,Điểm ĐGNL HCM,ĐGNL HCM
604,Trường Đại Học Hoa Sen,7210403,Thiết kế Đồ họa,A01; A01; D01; C10,600,Điểm ĐGNL HCM,ĐGNL HCM
605,Trường Đại Học Hoa Sen,7340122,Thương mại điện tử,A00; A01; D01; D03; D09,600,Điểm ĐGNL HCM,ĐGNL HCM
606,Trường Đại Học Hoa Sen,7320104,Truyền thông đa phương tiện,A00; A01; D01; C00,600,Điểm ĐGNL HCM,ĐGNL HCM
607,Trường Đại Học Hoa Sen,7480107,Trí tuệ nhân tạo,A00; A01; D01; D03; D07,626,Điểm ĐGNL HCM,ĐGNL HCM
